 Nº SABO ;N° TMS;Descripción;Aplicación;MARCA;PRECIO LISTA;;
76628;76628;Juego de juntas de tapa de valvulas con raspadores;Motor Renault / Peugeot  D4D-1,0L.16V -P206/Clio 2005/.../Sandero /logan 2007/...Alcohol /nafta /flex -hi  power /hi flex;RENAULT;14.758,14;;
76630;76630;Juego de juntas multiple de admisión y escape;Motor Ford Zetec Rocam SOHC - 1.0L KA / Fiesta / Ecosport 2000/...;FORD;4.844,27;;
76631;76631;Junta multiple de admisión;Motor Renault / Peugeot D4D 1.0L /1.2L 16V - Peugeot 206 (2001/2005) / Clio (2001/2015) / Logan (2007/2015 / Sandero (2007/2015) / Twingo (2001/2002)/ Kangoo (2001/2005) - Álcool / Gasolina / Flex - Hi Flex / Hi Power;RENAULT;3.194,65;;
76632;76632;Juego de juntas multiple de admisión y escape;Motor Ford Zetec Rocam SOHC - 1.6L KA / Fiesta / Ecosport / Focus 2000/...;FORD;4.844,27;;
76633;76633;Juego de juntas de colector de admisión con junta cuerpo de mariposas;Motor Peugeot /Citroen TU5JP4 /EC5 1,6L/16V;PEUGEOT;3.299,26;;
76648;76648;Juego de Juntas del colector;Citröen / Peugeot / Mini - 1.6L 16v THP EP6 TURBO- Vehiculos: Citroën - C4 CACTUS / C4 LOUNGE // Peugeot: 208 / 308 / 408 / 2008 // Mini: Cooper / Paceman;PEUGEOT/ CITROEN;4.200,51;;
76690;76690;Junta del carter;IVECO DAILY MOTOR F1C 3,0L 16V  D;IVECO;24.784,65;;
76696;76696;Junta de colector de admisión  ;- Ford - Motor Sigma - 1.5L/1.6L 16V;FORD;5.616,78;;
76761;76761;Junta multiple de admisión;Motor Ford Endura 1.0L / 1.3L - Fiesta / Ka / Courier 1996 a 1999;FORD;3.355,59;;
76765;76765;Juego juntas de goma completo;GM Cruze 1,8l 16v;GM;12.440,61;;
76808;76808;Junta de colector de admisión  ;Motor SCE-H4M-1,6L-16V Sandero /Logan/Duster/Captur ;Renault;5.093,73;;
76827;76827;Juego de juntas colector de admisión ;Motor Fiat 2,0L,16V ECD-Diesel Multijet II (2015/…) Vehiculos :TORO /REEGADE/COMPASS;FIAT/JEEP;3.846,45;;
76841;76841;Junta multiple de admisión;Motor Ford Duratec HE(DOHC)  2.0L 16V (Ecosport 2003.../Focus Hatch 2001.../Mondeo 1996.../ Focus Sedan 2000...;FORD;6.936,48;;
